,Team,Conf,Games,Wins,ADJOE,ADJDE,Power_Rating,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,Two_PO,Two_PD,Three_PO,Three_PD,ADJ_T,WAB,Postseason,Year,avg_conf_power_rating,win_perc,wab_perc
47,Western Kentucky,SB,36,29,109.6,95.6,0.8283,53.6,47.2,20.2,24.9,36.7,33.4,36.0,48.8,51.1,46.2,39.0,32.9,69.6,0.2,Sweet Sixteen,2008,0.43289999999999995,0.8055555555555556,0.005555555555555556
48,Saint Joseph's,A10,34,21,113.8,99.3,0.8274,54.6,50.6,19.3,21.5,32.5,34.0,39.7,33.3,52.8,47.7,38.6,37.0,65.4,-1.2,R64,2008,0.6738714285714286,0.6176470588235294,-0.03529411764705882
49,Missouri,B12,32,16,111.3,97.2,0.8270000000000001,50.7,48.8,17.7,23.1,31.5,34.9,30.8,42.9,51.0,49.8,33.4,30.9,72.5,-2.7,DIDNT_MAKE,2008,0.8326000000000002,0.5,-0.084375
50,Mississippi,SEC,35,24,113.0,98.8,0.8241,52.0,49.5,18.6,19.6,39.1,31.1,30.0,34.3,50.4,48.2,36.7,34.4,71.3,0.1,DIDNT_MAKE,2008,0.7867333333333333,0.6857142857142857,0.002857142857142857
51,Georgia Tech,ACC,32,15,113.2,99.0,0.8235,52.9,51.2,21.1,22.4,34.1,35.5,38.3,48.7,51.5,51.5,37.2,33.8,70.5,-2.3,DIDNT_MAKE,2008,0.831125,0.46875,-0.071875
52,Florida St.,ACC,34,19,107.3,93.9,0.8218,50.4,49.3,21.9,22.6,33.5,33.8,35.9,34.6,49.2,48.0,35.2,34.6,67.5,-0.4,DIDNT_MAKE,2008,0.831125,0.5588235294117647,-0.011764705882352941
53,Vanderbilt,SEC,34,26,111.4,97.8,0.8175,54.1,49.7,19.8,20.5,31.0,33.5,38.3,32.0,50.6,48.3,39.9,35.0,70.4,3.8,R64,2008,0.7867333333333333,0.7647058823529411,0.11176470588235293
54,Arizona St.,P10,34,21,108.3,95.1,0.8166,53.7,48.4,20.2,21.6,28.5,32.2,40.1,32.1,54.1,45.3,35.5,35.1,62.6,0.8,DIDNT_MAKE,2008,0.81971,0.6176470588235294,0.023529411764705882
55,Maryland,ACC,34,19,107.0,94.2,0.8135,50.9,44.4,23.4,19.7,35.0,34.9,37.5,30.9,50.9,42.6,33.8,32.4,71.1,-2.2,DIDNT_MAKE,2008,0.831125,0.5588235294117647,-0.06470588235294118
56,Massachusetts,A10,36,25,109.2,96.1,0.8124,51.4,47.6,17.7,19.9,31.7,33.9,38.6,37.9,49.9,46.1,35.6,34.1,76.2,-0.8,DIDNT_MAKE,2008,0.6738714285714286,0.6944444444444444,-0.022222222222222223
57,Illinois St.,MVC,34,24,104.6,92.4,0.8066,52.2,46.3,20.0,22.2,31.2,31.2,33.9,35.5,50.1,45.2,37.1,32.2,64.5,0.6,DIDNT_MAKE,2008,0.69327,0.7058823529411765,0.01764705882352941
58,Southern Illinois,MVC,33,18,104.1,91.9,0.8064,48.4,49.2,22.2,24.6,33.4,28.7,40.7,48.8,47.0,47.3,34.0,34.7,62.8,-3.2,DIDNT_MAKE,2008,0.69327,0.5454545454545454,-0.09696969696969697
59,Kent St.,MAC,35,28,105.9,93.7,0.8044,52.5,46.6,21.8,24.2,35.7,35.6,41.1,37.8,50.9,46.0,37.3,31.7,66.6,2.3,R64,2008,0.5191666666666667,0.8,0.06571428571428571
60,Oklahoma St.,B12,32,16,108.0,95.6,0.8021,49.7,50.1,21.5,24.4,32.6,33.9,38.4,44.1,48.8,48.2,34.1,36.2,66.8,-1.5,DIDNT_MAKE,2008,0.8326000000000002,0.5,-0.046875
61,Minnesota,B10,34,20,107.4,95.1,0.8012,50.2,48.5,21.6,25.1,36.0,33.9,35.0,39.5,47.5,47.4,36.7,33.6,67.2,-1.1,DIDNT_MAKE,2008,0.7742181818181817,0.5882352941176471,-0.03235294117647059
62,Washington,P10,33,16,108.8,96.4,0.8006,50.0,51.2,19.8,21.5,40.6,29.9,34.2,39.7,49.0,48.8,35.1,37.5,70.3,-2.3,DIDNT_MAKE,2008,0.81971,0.48484848484848486,-0.06969696969696969
63,California,P10,33,17,115.3,102.5,0.7956,52.3,51.9,19.4,17.2,34.5,31.8,36.1,33.1,51.6,51.4,35.9,35.1,69.6,-1.3,DIDNT_MAKE,2008,0.81971,0.5151515151515151,-0.0393939393939394
64,Wake Forest,ACC,30,17,106.2,94.4,0.7934,48.3,49.1,19.6,23.9,33.9,33.8,34.0,36.8,49.2,47.1,31.1,35.1,70.7,-1.7,DIDNT_MAKE,2008,0.831125,0.5666666666666667,-0.056666666666666664
65,UAB,CUSA,34,23,108.8,96.8,0.7933,52.2,46.8,20.4,19.8,32.2,30.6,39.0,37.1,49.9,45.1,37.5,33.6,68.9,-1.5,DIDNT_MAKE,2008,0.6035999999999999,0.6764705882352942,-0.04411764705882353
66,Temple,A10,34,21,111.2,98.9,0.7928,54.1,49.1,19.1,19.3,28.5,32.4,35.3,31.8,53.3,46.5,36.9,35.7,65.6,-1.7,R64,2008,0.6738714285714286,0.6176470588235294,-0.049999999999999996
67,Kentucky,SEC,31,18,106.6,94.9,0.792,52.7,45.0,23.7,19.7,32.9,33.8,41.1,42.4,51.5,43.1,36.9,32.6,64.3,-1.1,R64,2008,0.7867333333333333,0.5806451612903226,-0.035483870967741936
